web-scraper-order,web-scraper-start-url,Team
"1651619857-57","https://en.wikipedia.org/wiki/2021%E2%80%9322_Premier_League","Crystal Palace"
"1651619857-55","https://en.wikipedia.org/wiki/2021%E2%80%9322_Premier_League","Burnley"
"1651619857-54","https://en.wikipedia.org/wiki/2021%E2%80%9322_Premier_League","Brighton & Hove Albion"
"1651619857-65","https://en.wikipedia.org/wiki/2021%E2%80%9322_Premier_League","Norwich City"
"1651619857-51","https://en.wikipedia.org/wiki/2021%E2%80%9322_Premier_League","Arsenal"
"1651619857-60","https://en.wikipedia.org/wiki/2021%E2%80%9322_Premier_League","Leicester City"
"1651619857-62","https://en.wikipedia.org/wiki/2021%E2%80%9322_Premier_League","Manchester City"
"1651619857-52","https://en.wikipedia.org/wiki/2021%E2%80%9322_Premier_League","Aston Villa"
"1651619857-58","https://en.wikipedia.org/wiki/2021%E2%80%9322_Premier_League","Everton"
"1651619857-56","https://en.wikipedia.org/wiki/2021%E2%80%9322_Premier_League","Chelsea"
"1651619857-59","https://en.wikipedia.org/wiki/2021%E2%80%9322_Premier_League","Leeds United"
"1651619857-67","https://en.wikipedia.org/wiki/2021%E2%80%9322_Premier_League","Tottenham Hotspur"
"1651619857-66","https://en.wikipedia.org/wiki/2021%E2%80%9322_Premier_League","Southampton"
"1651619857-70","https://en.wikipedia.org/wiki/2021%E2%80%9322_Premier_League","Wolverhampton Wanderers"
"1651619857-63","https://en.wikipedia.org/wiki/2021%E2%80%9322_Premier_League","Manchester United"
"1651619857-68","https://en.wikipedia.org/wiki/2021%E2%80%9322_Premier_League","Watford"
"1651619857-61","https://en.wikipedia.org/wiki/2021%E2%80%9322_Premier_League","Liverpool"
"1651619857-53","https://en.wikipedia.org/wiki/2021%E2%80%9322_Premier_League","Brentford"
"1651619857-69","https://en.wikipedia.org/wiki/2021%E2%80%9322_Premier_League","West Ham United"
"1651619857-64","https://en.wikipedia.org/wiki/2021%E2%80%9322_Premier_League","Newcastle United"
